age,numed
39,13
50,13
38,9
53,7
28,13
37,14
49,5
52,9
31,14
42,13
37,10
30,13
23,13
32,12
40,11
34,4
25,9
32,9
38,7
43,14
40,16
54,9
35,5
43,7
59,9
56,13
19,9
54,10
39,9
49,9
23,12
20,10
45,13
30,10
22,10
48,7
21,10
19,9
31,10
48,12
31,5
53,13
24,13
49,9
25,9
57,13
53,9
44,14
41,11
29,11
25,10
18,9
47,15
50,13
47,9
43,10
46,3
35,11
41,9
30,9
30,13
32,4
48,9
42,16
29,10
36,9
28,10
53,9
49,10
25,10
19,10
31,13
29,13
23,10
79,10
27,9
40,12
67,6
18,7
31,4
18,9
52,13
46,9
59,9
44,9
53,9
49,9
33,14
30,5
43,16
57,11
37,10
28,10
30,9
34,13
29,10
48,16
37,10
48,12
32,9
76,14
44,13
47,14
20,10
29,9
32,9
17,6
30,7
31,9
42,9
24,13
38,15
56,9
28,10
36,9
53,5
56,10
49,11
55,10
22,9
21,10
40,13
30,13
29,13
19,10
47,13
20,10
31,12
35,9
39,10
28,12
24,9
38,9
37,13
46,12
38,14
43,9
27,11
20,10
49,10
61,9
27,10
19,10
45,11
70,10
31,9
22,10
36,9
64,7
43,10
47,10
34,9
33,13
21,9
52,9
48,9
23,13
71,10
29,9
42,13
68,2
25,9
44,14
28,9
45,14
36,10
39,12
46,14
18,7
66,11
27,9
28,9
51,10
27,13
28,13
27,9
21,9
34,9
18,9
33,13
44,10
43,10
30,10
40,4
37,10
34,9
41,13
53,13
31,14
58,16
38,10
24,10
41,13
47,10
41,13
23,3
36,10
40,14
35,14
24,9
26,14
19,9
51,13
42,10
37,9
18,7
36,13
35,9
58,9
17,7
44,9
37,9
35,10
60,9
54,4
37,13
50,12
38,13
45,13
25,6
31,10
64,2
90,9
54,9
53,1
18,9
60,6
66,9
75,11
65,9
35,7
41,9
25,10
33,10
28,15
59,9
40,10
41,13
38,14
23,9
40,13
41,9
24,12
20,10
38,10
56,9
58,9
32,9
40,12
45,9
41,15
42,13
59,6
19,10
58,10
42,9
20,9
32,9
45,11
50,4
36,13
45,9
17,7
59,10
26,7
37,10
19,10
64,9
33,13
33,9
61,9
17,5
50,14
27,14
30,9
43,9
44,10
35,10
25,10
24,10
22,13
42,10
34,12
60,13
21,9
57,14
41,15
50,10
25,13
50,4
36,13
31,9
29,13
21,10
27,13
65,9
37,13
39,14
24,9
38,9
48,13
21,10
31,9
55,9
24,10
43,9
26,12
46,12
35,12
41,10
26,13
34,14
19,10
36,13
22,10
24,10
77,10
22,3
29,10
62,9
39,9
43,10
35,9
29,7
76,14
63,9
23,11
43,10
58,9
66,9
41,10
26,13
47,11
55,6
53,9
17,3
30,9
49,14
19,9
45,9
26,12
38,11
36,9
33,9
22,10
43,13
67,7
30,11
56,12
31,13
33,13
26,9
33,13
46,7
59,13
38,9
65,7
40,11
42,9
26,5
36,6
62,14
43,13
