39, shops, 77516, Bachelors, 13, live, Adm-clerical, bus, book, action, 2174, 0, 40, United-States, <=50
50, markets, 83311, Bachelors, 13, DVD, Exec-managerial, car, book, action, 0, 0, 13, United-States, <=50
38, malls, 215646, HS-grad, 9, social_networks, Handlers-cleaners, bus, book, action, 0, 0, 40, United-States, <=50
53, malls, 234721, 11th, 7, DVD, Handlers-cleaners, car, magazine, action, 0, 0, 40, United-States, <=50
28, malls, 338409, Bachelors, 13, DVD, Prof-specialty, cycling, magazine, aventure, 0, 0, 40, Cuba, <=50
37, malls, 284582, Masters, 14, DVD, Exec-managerial, cycling, book, aventure, 0, 0, 40, United-States, <=50
49, malls, 160187, 9th, 5, theaters, Other-service, bus, magazine, aventure, 0, 0, 16, Jamaica, <=50
52, markets, 209642, HS-grad, 9, DVD, Exec-managerial, car, book, action, 0, 0, 45, United-States, >50
31, malls, 45781, Masters, 14, live, Prof-specialty, bus, book, aventure, 14084, 0, 50, United-States, >50
42, malls, 159449, Bachelors, 13, DVD, Exec-managerial, car, book, action, 5178, 0, 40, United-States, >50
37, malls, 280464, Some-college, 10, DVD, Exec-managerial, car, magazine, action, 0, 0, 80, United-States, >50
30, shops, 141297, Bachelors, 13, DVD, Prof-specialty, car, web, action, 0, 0, 40, India, >50
23, malls, 122272, Bachelors, 13, live, Adm-clerical, running, book, aventure, 0, 0, 30, United-States, <=50
32, malls, 205019, Assoc-acdm, 12, live, Sales, bus, magazine, action, 0, 0, 50, United-States, <=50
40, malls, 121772, Assoc-voc, 11, DVD, Craft-repair, car, web, action, 0, 0, 40, ?, >50
34, malls, 245487, 7th-8th, 4, DVD, Transport-moving, car, tv, action, 0, 0, 45, Mexico, <=50
25, markets, 176756, HS-grad, 9, live, Farming-fishing, running, book, action, 0, 0, 35, United-States, <=50
32, malls, 186824, HS-grad, 9, live, Machine-op-inspct, walking, book, action, 0, 0, 40, United-States, <=50
38, malls, 28887, 11th, 7, DVD, Sales, car, book, action, 0, 0, 50, United-States, <=50
43, markets, 292175, Masters, 14, social_networks, Exec-managerial, walking, book, aventure, 0, 0, 45, United-States, >50
40, malls, 193524, Doctorate, 16, DVD, Prof-specialty, car, book, action, 0, 0, 60, United-States, >50
54, malls, 302146, HS-grad, 9, websites, Other-service, walking, magazine, aventure, 0, 0, 20, United-States, <=50
35, supermarkets, 76845, 9th, 5, DVD, Farming-fishing, car, magazine, action, 0, 0, 40, United-States, <=50
43, malls, 117037, 11th, 7, DVD, Transport-moving, car, book, action, 0, 2042, 40, United-States, <=50
59, malls, 109015, HS-grad, 9, social_networks, Tech-support, walking, book, aventure, 0, 0, 40, United-States, <=50
56, ecommerce, 216851, Bachelors, 13, DVD, Tech-support, car, book, action, 0, 0, 40, United-States, >50
19, malls, 168294, HS-grad, 9, live, Craft-repair, running, book, action, 0, 0, 40, United-States, <=50
54, ?, 180211, Some-college, 10, DVD, ?, car, web, action, 0, 0, 60, South, >50
39, malls, 367260, HS-grad, 9, social_networks, Exec-managerial, bus, book, action, 0, 0, 80, United-States, <=50
49, malls, 193366, HS-grad, 9, DVD, Craft-repair, car, book, action, 0, 0, 40, United-States, <=50
23, ecommerce, 190709, Assoc-acdm, 12, live, Protective-serv, bus, book, action, 0, 0, 52, United-States, <=50
20, malls, 266015, Some-college, 10, live, Sales, running, magazine, action, 0, 0, 44, United-States, <=50
45, malls, 386940, Bachelors, 13, social_networks, Exec-managerial, running, book, action, 0, 1408, 40, United-States, <=50
30, supermarkets, 59951, Some-college, 10, DVD, Adm-clerical, running, book, action, 0, 0, 40, United-States, <=50
22, shops, 311512, Some-college, 10, DVD, Other-service, car, magazine, action, 0, 0, 15, United-States, <=50
48, malls, 242406, 11th, 7, live, Machine-op-inspct, walking, book, action, 0, 0, 40, Puerto-Rico, <=50
21, malls, 197200, Some-college, 10, live, Machine-op-inspct, running, book, action, 0, 0, 40, United-States, <=50
19, malls, 544091, HS-grad, 9, television, Adm-clerical, cycling, book, aventure, 0, 0, 25, United-States, <=50
31, malls, 84154, Some-college, 10, DVD, Sales, car, book, action, 0, 0, 38, ?, >50
48, markets, 265477, Assoc-acdm, 12, DVD, Prof-specialty, car, book, action, 0, 0, 40, United-States, <=50
31, malls, 507875, 9th, 5, DVD, Machine-op-inspct, car, book, action, 0, 0, 43, United-States, <=50
53, markets, 88506, Bachelors, 13, DVD, Prof-specialty, car, book, action, 0, 0, 40, United-States, <=50
24, malls, 172987, Bachelors, 13, DVD, Tech-support, car, book, action, 0, 0, 50, United-States, <=50
49, malls, 94638, HS-grad, 9, websites, Adm-clerical, walking, book, aventure, 0, 0, 40, United-States, <=50
25, malls, 289980, HS-grad, 9, live, Handlers-cleaners, bus, book, action, 0, 0, 35, United-States, <=50
57, supermarkets, 337895, Bachelors, 13, DVD, Prof-specialty, car, magazine, action, 0, 0, 40, United-States, >50
53, malls, 144361, HS-grad, 9, DVD, Machine-op-inspct, car, book, action, 0, 0, 38, United-States, <=50
44, malls, 128354, Masters, 14, social_networks, Exec-managerial, walking, book, aventure, 0, 0, 40, United-States, <=50
41, shops, 101603, Assoc-voc, 11, DVD, Craft-repair, car, book, action, 0, 0, 40, United-States, <=50
29, malls, 271466, Assoc-voc, 11, live, Prof-specialty, bus, book, action, 0, 0, 43, United-States, <=50
25, malls, 32275, Some-college, 10, DVD, Exec-managerial, cycling, Other, aventure, 0, 0, 40, United-States, <=50
18, malls, 226956, HS-grad, 9, live, Other-service, running, book, aventure, 0, 0, 30, ?, <=50
47, malls, 51835, Prof-school, 15, DVD, Prof-specialty, cycling, book, aventure, 0, 1902, 60, Honduras, >50
50, supermarkets, 251585, Bachelors, 13, social_networks, Exec-managerial, bus, book, action, 0, 0, 55, United-States, >50
47, Self-emp-inc, 109832, HS-grad, 9, social_networks, Exec-managerial, bus, book, action, 0, 0, 60, United-States, <=50
43, malls, 237993, Some-college, 10, DVD, Tech-support, car, book, action, 0, 0, 40, United-States, >50
46, malls, 216666, 5th-6th, 3, DVD, Machine-op-inspct, car, book, action, 0, 0, 40, Mexico, <=50
35, malls, 56352, Assoc-voc, 11, DVD, Other-service, car, book, action, 0, 0, 40, Puerto-Rico, <=50
41, malls, 147372, HS-grad, 9, DVD, Adm-clerical, car, book, action, 0, 0, 48, United-States, <=50
30, malls, 188146, HS-grad, 9, DVD, Machine-op-inspct, car, book, action, 5013, 0, 40, United-States, <=50
30, malls, 59496, Bachelors, 13, DVD, Sales, car, book, action, 2407, 0, 40, United-States, <=50
32, ?, 293936, 7th-8th, 4, theaters, ?, bus, book, action, 0, 0, 40, ?, <=50
48, malls, 149640, HS-grad, 9, DVD, Transport-moving, car, book, action, 0, 0, 40, United-States, <=50
42, malls, 116632, Doctorate, 16, DVD, Prof-specialty, car, book, action, 0, 0, 45, United-States, >50
29, malls, 105598, Some-college, 10, social_networks, Tech-support, bus, book, action, 0, 0, 58, United-States, <=50
36, malls, 155537, HS-grad, 9, DVD, Craft-repair, car, book, action, 0, 0, 40, United-States, <=50
28, malls, 183175, Some-college, 10, social_networks, Adm-clerical, bus, book, aventure, 0, 0, 40, United-States, <=50
53, malls, 169846, HS-grad, 9, DVD, Adm-clerical, cycling, book, aventure, 0, 0, 40, United-States, >50
49, Self-emp-inc, 191681, Some-college, 10, DVD, Exec-managerial, car, book, action, 0, 0, 50, United-States, >50
25, ?, 200681, Some-college, 10, live, ?, running, book, action, 0, 0, 40, United-States, <=50
19, malls, 101509, Some-college, 10, live, Prof-specialty, running, book, action, 0, 0, 32, United-States, <=50
31, malls, 309974, Bachelors, 13, websites, Sales, running, magazine, aventure, 0, 0, 40, United-States, <=50
29, markets, 162298, Bachelors, 13, DVD, Sales, car, book, action, 0, 0, 70, United-States, >50
23, malls, 211678, Some-college, 10, live, Machine-op-inspct, bus, book, action, 0, 0, 40, United-States, <=50
79, malls, 124744, Some-college, 10, DVD, Prof-specialty, Other-relative, book, action, 0, 0, 20, United-States, <=50
27, malls, 213921, HS-grad, 9, live, Other-service, running, book, action, 0, 0, 40, Mexico, <=50
40, malls, 32214, Assoc-acdm, 12, DVD, Adm-clerical, car, book, action, 0, 0, 40, United-States, <=50
67, ?, 212759, 10th, 6, DVD, ?, car, book, action, 0, 0, 2, United-States, <=50
18, malls, 309634, 11th, 7, live, Other-service, running, book, aventure, 0, 0, 22, United-States, <=50
31, ecommerce, 125927, 7th-8th, 4, DVD, Farming-fishing, car, book, action, 0, 0, 40, United-States, <=50
18, malls, 446839, HS-grad, 9, live, Sales, bus, book, action, 0, 0, 30, United-States, <=50
